,dqn_sum,dqn_pid_0,dqn_pid_1
716000,1.662,1.0,0.662
717000,1.704,1.0,0.704
718000,1.704,1.0,0.704
719000,1.698,1.0,0.698
720000,1.706,1.0,0.706
721000,1.714,1.0,0.714
722000,1.698,1.0,0.698
723000,1.744,1.0,0.744
724000,1.728,1.0,0.728
725000,1.688,1.0,0.688
726000,1.722,1.0,0.722
727000,1.634,1.0,0.634
728000,1.72,1.0,0.72
729000,1.696,1.0,0.696
730000,1.682,1.0,0.682
731000,0.0,1.0,-1.0
732000,1.682,1.0,0.682
733000,0.0,1.0,-1.0
734000,1.704,1.0,0.704
735000,1.742,1.0,0.742
736000,1.698,1.0,0.698
737000,1.736,1.0,0.736
738000,0.0,1.0,-1.0
739000,1.728,1.0,0.728
740000,1.714,1.0,0.714
741000,1.71,1.0,0.71
742000,1.736,1.0,0.736
743000,1.718,1.0,0.718
744000,1.734,1.0,0.734
745000,1.732,1.0,0.732
746000,1.694,1.0,0.694
747000,1.694,1.0,0.694
748000,1.734,1.0,0.734
749000,1.728,1.0,0.728
750000,0.0,1.0,-1.0
751000,1.714,1.0,0.714
752000,0.0,1.0,-1.0
753000,1.6840000000000002,1.0,0.684
754000,1.714,1.0,0.714
755000,1.714,1.0,0.714
756000,1.688,1.0,0.688
757000,1.71,1.0,0.71
758000,1.716,1.0,0.716
759000,1.712,1.0,0.712
760000,1.6560000000000001,1.0,0.656
761000,1.6680000000000001,1.0,0.668
762000,1.6560000000000001,1.0,0.656
763000,2.0,1.0,1.0
764000,1.638,1.0,0.638
765000,1.678,1.0,0.678
766000,1.686,1.0,0.686
767000,1.686,1.0,0.686
768000,1.686,1.0,0.686
769000,1.6059999999999999,1.0,0.606
770000,2.0,1.0,1.0
771000,1.674,1.0,0.674
772000,1.712,1.0,0.712
773000,1.748,1.0,0.748
774000,1.728,1.0,0.728
775000,1.682,1.0,0.682
776000,1.704,1.0,0.704
777000,1.6640000000000001,1.0,0.664
778000,1.714,1.0,0.714
779000,1.738,1.0,0.738
780000,1.718,1.0,0.718
781000,1.6720000000000002,1.0,0.672
782000,1.726,1.0,0.726
783000,1.722,1.0,0.722
784000,1.72,1.0,0.72
785000,1.702,1.0,0.702
786000,1.642,1.0,0.642
787000,1.698,1.0,0.698
788000,1.71,1.0,0.71
789000,1.626,0.97,0.656
790000,1.728,1.0,0.728
791000,1.694,1.0,0.694
792000,1.716,1.0,0.716
793000,1.722,1.0,0.722
794000,1.658,1.0,0.658
795000,1.702,1.0,0.702
796000,1.726,1.0,0.726
797000,1.6400000000000001,1.0,0.64
798000,1.686,1.0,0.686
799000,1.726,1.0,0.726
800000,1.662,1.0,0.662
801000,1.6600000000000001,1.0,0.66
802000,1.6600000000000001,1.0,0.66
803000,1.696,1.0,0.696
804000,1.6560000000000001,1.0,0.656
805000,1.702,1.0,0.702
806000,1.678,1.0,0.678
807000,0.0,1.0,-1.0
808000,1.712,1.0,0.712
809000,1.6720000000000002,1.0,0.672
810000,1.736,1.0,0.736
811000,1.72,1.0,0.72
812000,1.67,1.0,0.67
813000,1.702,1.0,0.702
814000,1.692,1.0,0.692
815000,1.692,1.0,0.692
816000,1.682,1.0,0.682
817000,1.772,1.0,0.772
818000,1.62,1.0,0.62
819000,1.706,1.0,0.706
820000,1.704,1.0,0.704
821000,1.69,1.0,0.69
822000,1.662,1.0,0.662
823000,1.67,0.972,0.698
824000,1.726,1.0,0.726
825000,1.6760000000000002,1.0,0.676
826000,-0.29400000000000004,-1.0,0.706
827000,1.666,1.0,0.666
828000,0.0,1.0,-1.0
829000,1.734,1.0,0.734
830000,0.0,1.0,-1.0
831000,1.698,1.0,0.698
832000,1.6720000000000002,1.0,0.672
833000,1.662,1.0,0.662
834000,1.692,1.0,0.692
835000,1.6760000000000002,1.0,0.676
836000,1.6840000000000002,1.0,0.684
837000,1.608,1.0,0.608
838000,1.706,1.0,0.706
839000,1.702,1.0,0.702
840000,1.682,1.0,0.682
841000,1.718,1.0,0.718
842000,1.704,1.0,0.704
