,dqn_sum,dqn_pid_0,dqn_pid_1
766000,1.3130000000000002,0.927,0.386
767000,1.3130000000000002,0.912,0.401
768000,1.33,0.919,0.411
769000,1.3090000000000002,0.93,0.379
770000,-0.119,0.881,-1.0
771000,1.2850000000000001,0.921,0.364
772000,1.324,0.929,0.395
773000,0.395,0.0,0.395
774000,1.4020000000000001,1.0,0.402
775000,1.347,0.927,0.42
776000,1.328,0.921,0.407
777000,1.319,0.932,0.387
778000,1.316,0.91,0.406
779000,1.327,0.918,0.409
780000,1.3090000000000002,0.906,0.403
781000,1.3679999999999999,0.949,0.419
782000,1.2409999999999999,0.938,0.303
783000,1.342,0.923,0.419
784000,-0.08399999999999996,0.916,-1.0
785000,1.367,0.935,0.432
786000,1.3900000000000001,0.927,0.463
787000,1.354,0.936,0.418
788000,1.357,0.931,0.426
789000,1.331,0.941,0.39
790000,1.32,0.927,0.393
791000,1.2970000000000002,0.925,0.372
792000,1.363,0.931,0.432
793000,1.372,0.932,0.44
794000,1.3239999999999998,0.94,0.384
795000,-0.061000000000000054,0.939,-1.0
796000,1.295,0.939,0.356
797000,-0.07499999999999996,0.925,-1.0
798000,1.31,0.935,0.375
799000,1.282,0.92,0.362
800000,1.331,0.909,0.422
801000,0.0,1.0,-1.0
802000,1.397,1.0,0.397
803000,1.282,0.909,0.373
804000,1.2389999999999999,0.89,0.349
805000,1.347,0.934,0.413
806000,1.262,0.932,0.33
807000,1.288,0.931,0.357
808000,1.3050000000000002,0.925,0.38
809000,-0.07999999999999996,0.92,-1.0
810000,1.267,0.938,0.329
811000,1.337,0.943,0.394
812000,1.328,0.928,0.4
813000,1.369,0.92,0.449
814000,1.343,0.922,0.421
815000,1.308,0.923,0.385
816000,1.27,0.932,0.338
817000,1.307,0.925,0.382
818000,1.288,0.902,0.386
819000,1.276,0.93,0.346
820000,-0.06299999999999994,0.937,-1.0
821000,1.3010000000000002,0.931,0.37
822000,1.3579999999999999,0.94,0.418
823000,-0.07199999999999995,0.928,-1.0
824000,1.396,0.952,0.444
825000,1.278,0.918,0.36
826000,-0.09999999999999998,0.9,-1.0
827000,-0.07499999999999996,0.925,-1.0
828000,1.32,0.933,0.387
829000,1.2970000000000002,0.914,0.383
830000,1.363,0.937,0.426
831000,1.2850000000000001,0.896,0.389
832000,1.409,1.0,0.409
